,10000762,10000532,10000533,10000534,10008306,10000377,10008024,10006201,10000761,10000775,10000669,10000764,10000486,10000763
Cosmetic/Make-up Products,Breast/Hip Enhancer Pads,Cosmetic/MakeUp - Complexion,Cosmetic/MakeUp - Eyes,Cosmetic/MakeUp - Lips,Cosmetic/MakeUp - Multizone,Cosmetic/MakeUp Aids/Accessories,Cosmetic/MakeUp Applicators,Cosmetic/MakeUp Display Test,Cosmetic/MakeUp Paints/Shimmers/Glitters,Cosmetic/MakeUp Products Other,Cosmetic/MakeUp Products Variety Packs,Eyelashes - False,Skin Lightening,Tattoos/Stencils/Stick-on Jewellery - Temporary
Advertised Origin,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Aerosol Product,,,,,,,,,,,,,,
Beauty Area of Use,,E,E,E,E,E,E,E,E,E,E,E,E,E
Beauty Treatment Specialty,,E,E,E,E,E,E,E,E,E,E,E,E,E
Beauty Type,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Beauty Type,,E,E,E,,E,E,,,,,,,
Boxed for Gift Giving,,,,,,,,,,,,,,
Brand Name             ,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Chemical Certifications,,,,,,,,,,,,,,
Circularity Certifications,,,,,,,,,,,,,,
Color Extended Description,,,,,,,,,,,,,,
Consumer Available Date,,,,,,,,,,,,,,
Consumer Item Weight,,,,,,,,,,,,,,
Consumer Life Stage,,,,,,,,,,,,,,
Consumer Package Depth,,,,,,,,,,,,,,
Consumer Package Gross Weight,,,,,,,,,,,,,,
Consumer Package Height,,,,,,,,,,,,,,
Consumer Package Width,,,,,,,,,,,,,,
Consumer Product Capacity or Volume,,E,E,E,E,E,E,E,E,E,E,E,E,E
Consumer Quantity of Units in Consumer Package,,,,,,,,,,,,,,
Corporate/Philanthropic Certifications,,,,,,,,,,,,,,
Country of Origin,E,E,E,E,E,E,E,E,E,E,E,E,E,E
CPSIA  Flag,,,,,,,,,,,,,,
Discontinue Date,,,,,,,,,,,,,,
Does Not Contain,,E,E,E,E,E,E,E,E,E,E,E,E,E
Features – Benefits – Marketing Message,E,E,E,E,E,E,E,E,E,E,E,E,E,E
First Avail Ship Date,,,,,,,,,,,,,,
First Order Date,,,,,,,,,,,,,,
Formulation,,E,E,E,E,E,E,E,E,E,E,E,E,E
Full Product Name,,,,,,,,,,,,,,
Gender,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Global Product Classification (GPC),E,E,E,E,E,E,E,E,E,E,E,E,E,E
Harmonized Tariff Schedule Code,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Hazardous Material Class Code,,,,,,,,,,,,,,
Hazardous Material Description,,,,,,,,,,,,,,
Holiday/Event,,,,,,,,,,,,,,
Hypoallergenic,,E,E,E,E,E,E,E,E,E,E,E,E,E
Ingredients,,E,E,E,E,E,E,E,E,E,E,E,E,E
Inner Pack Quantity,,,,,,,,,,,,,,
Key Active Ingredient,,E,E,E,E,E,E,E,E,E,E,E,E,E
Lead Time,,,,,,,,,,,,,,
Marked Retail Price,,,,,,,,,,,,,,
Material Country of Origin,,,,,,,,,,,,,,
Min Order Quantity,,,,,,,,,,,,,,
Occasion,,,,,,,,,,,,,,
Oil Free,,E,E,E,E,E,E,E,E,E,E,E,E,E
Order Quantity Multiple,,,,,,,,,,,,,,
Prop 65,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Refillable,,E,E,E,E,E,E,E,E,E,E,E,E,E
Re-orderable ,,,,,,,,,,,,,,
Responsible Manufacturing,,,,,,,,,,,,,,
Scent Type,,,,,,,,,,,,,,
Selling Channel,,,,,,,,,,,,,,
Shippable Package/Carton,,,,,,,,,,,,,,
Skin Type,,E,E,E,E,E,E,E,E,E,E,E,E,E
Social Certifications,,,,,,,,,,,,,,
Special Handling Code,,,,,,,,,,,,,,
Special Item Code,,,,,,,,,,,,,,
SPF Rating,,E,E,E,E,E,E,E,E,E,E,E,E,E
Supplemental Circularity Certifications,,,,,,,,,,,,,,
Supplemental Corporate/Philanthropic,,,,,,,,,,,,,,
Supplemental Packaging Certifications,,,,,,,,,,,,,,
Supplemental Raw Material Certifications,,,,,,,,,,,,,,
Supplemental Traceability Programs ,,,,,,,,,,,,,,
Supplier Suggested Retail,,,,,,,,,,,,,,
Supplier Wholesale Price,,,,,,,,,,,,,,
Supply Type,,,,,,,,,,,,,,
Sustainable Materials,,,,,,,,,,,,,,
Sustainable Packaging,,,,,,,,,,,,,,
Vendor Collection Name,,,,,,,,,,,,,,
Water Repellent,,,,,,,,,,,,,,
Wrinkle Resistant,,,,,,,,,,,,,,
TOTALS,=COUNTA(B7:B74),=COUNTA(C7:C74),=COUNTA(D7:D74),=COUNTA(E7:E74),=COUNTA(F7:F74),=COUNTA(G7:G74),=COUNTA(H7:H74),=COUNTA(I7:I74),=COUNTA(J7:J74),=COUNTA(K7:K74),=COUNTA(L7:L74),=COUNTA(M7:M74),=COUNTA(N7:N74),=COUNTA(O7:O74)
