,GLOBAL PRODUCT CLASSIFICATION (GPC) CODES,,,,,,,,
,10001338,10001339,10001341,10001358,,,,,
Sleepwear Attributes,Dressing Gowns,Night Dresses/Shirts,Sleep Trousers/Shorts,Sleepwear Variety Packs,,,,,
Adhesive,,,,,,,,,
Adjustable,,,,,,,,,
Adjustable Strap,,,,,,,,,
Advertised Origin,E,E,E,E,,,,,
Boxed for Gift Giving,,,,,,,,,
Bra Band Type,,,,,,,,,
Bra Bust Type,,,,,,,,,
Bra Cup Coverage,,,,,,,,,
Bra Cup Type,,,,,,,,,
Bra Impact Level,,,,,,,,,
Bra Padding,,,,,,,,,
Bra Specialty Type,,,,,,,,,
Bra Type,,,,,,,,,
Bra Underwire,,,,,,,,,
Brand Name             ,E,E,E,E,,,,,
Care Information,,,,,,,,,
Care Instructions Code,E,E,E,E,,,,,
Chemical Certifications,,,,,,,,,
Circularity Certifications,,,,,,,,,
Closure,E,E,E,E,,,,,
Coat/Jacket Type,,,,,,,,,
Collar Type,E,E,,E,,,,,
Color Extended Description,,,,,,,,,
Conference,,,,,,,,,
Consumer Available Date,,,,,,,,,
Consumer Item Length,E,E,,,,,,,
Consumer Item Weight,,,,,,,,,
Consumer Item Width,,,,,,,,,
Consumer Life Stage,E,E,E,E,,,,,
Consumer Package Depth,,,,,,,,,
Consumer Package Gross Weight,,,,,,,,,
Consumer Package Height,,,,,,,,,
Consumer Package Width,,,,,,,,,
Consumer Quantity of Units in Consumer Package,,,,,,,,,
Control Level,,,,,,,,,
Convertible,,,,,,,,,
Corporate/Philanthropic Certifications,,,,,,,,,
Country of Origin,E,E,E,E,,,,,
CPSIA  Flag,,,,,,,,,
Cuff Type,,,,,,,,,
Detachable Strap,,,,,,,,,
Discontinue Date,,,,,,,,,
Dress Type,,E,,,,,,,
Fabric or Material Code,E,E,E,E,,,,,
Fabric or Material Description,,,,,,,,,
Faux Fur,,,,,,,,,
Features – Benefits – Marketing Message,E,E,E,E,,,,,
Fiber,E,E,E,E,,,,,
Finish,,,,,,,,,
First Avail Ship Date,,,,,,,,,
First Order Date,,,,,,,,,
Full Product Name,,,,,,,,,
Fur Animal Name,E,E,E,E,,,,,
Fur Country of Origin,E,E,E,E,,,,,
Fur Treatment,E,E,E,E,,,,,
Gauge,,,,,,,,,
Gender,E,E,E,E,,,,,
Global Product Classification (GPC),E,E,E,E,,,,,
Harmonized Tariff Schedule Code,E,E,E,E,,,,,
Holiday/Event,,,,,,,,,
Hooded,,,,,,,,,
Inner Pack Quantity,,,,,,,,,
Knit Type,,,,,,,,,
Laser Cut,,,,,,,,,
Lead Time,,,,,,,,,
League,,,,,,,,,
Leg Type,,,,,,,,,
Length Description,E,E,E,E,,,,,
Lined,,,,,,,,,
Lining Material,,,,,,,,,
Marked Retail Price,,,,,,,,,
Material Country of Origin,,,,,,,,,
Maternity,,,,,,,,,
Min Order Quantity,,,,,,,,,
Occasion,,,,,,,,,
Officially Licensed,,,,,,,,,
Order Quantity Multiple,,,,,,,,,
Pant Inseam Length,,,E,E,,,,,
Pants/Shorts Type,,,,,,,,,
Panty Back Coverage,,,,,,,,,
Panty Type,,,,,,,,,
Player Name,,,,,,,,,
Pocket Details,E,E,E,E,,,,,
Primary Detail Application,,,,,,,,,
Primary Detail Logo ,,,,,,,,,
Primary Detail Placement,,,,,,,,,
Primary Detail Size,,,,,,,,,
Primary Detail Type,,,,,,,,,
Primary Motif Theme,,,,,,,,,
Prop 65,E,E,E,E,,,,,
Raw Materials Certifications,,,,,,,,,
Re-orderable ,,,,,,,,,
Reversible,,,,,,,,,
Secondary Detail Application,,,,,,,,,
Secondary Detail Logo,,,,,,,,,
Secondary Detail Placement,,,,,,,,,
Secondary Detail Size,,,,,,,,,
Secondary Detail Type,,,,,,,,,
Secondary Motif Theme,,,,,,,,,
Selling Channel,,,,,,,,,
Shapewear Type,,,,,,,,,
Shippable Package/Carton,,,,,,,,,
Skirt Type,,,,,,,,,
Sleepwear Type,E,E,E,E,,,,,
Sleeve Measurement,,,,,,,,,
Sleeve Type,E,E,,E,,,,,
Slip Split,,,,,,,,,
Slip Type,,,,,,,,,
Social Certifications,,,,,,,,,
Special Embellishment,,,,,,,,,
Special Item Code,,,,,,,,,
SPF Rating,,,,,,,,,
Sport,,,,,,,,,
Steamable,,,,,,,,,
Strap Placement,,,,,,,,,
Stretch,,,,,,,,,
Supplemental Circularity Certifications,,,,,,,,,
Supplemental Corporate/Philanthropic,,,,,,,,,
Supplemental Packaging Certifications,,,,,,,,,
Supplemental Raw Material Certifications,,,,,,,,,
Supplemental Traceability Programs ,,,,,,,,,
Supplier Suggested Retail,,,,,,,,,
Supplier Wholesale Price,,,,,,,,,
Supply Type,,,,,,,,,
Support Level,,,,,,,,,
Sweater/Pullover Type,,,,,,,,,
Tag,,,,,,,,,
Team Name,,,,,,,,,
Third Detail Application,,,,,,,,,
Third Detail Logo,,,,,,,,,
Third Detail Placement,,,,,,,,,
Third Detail Size,,,,,,,,,
Third Detail Type,,,,,,,,,
Third Motif Theme,,,,,,,,,
Vendor Collection Name,,,,,,,,,
Waist Rise,,,,,,,,,
Waistband Type,,,E,E,,,,,
Water Repellent,,,,,,,,,
Wrinkle Resistant,,,,,,,,,
Totals,=COUNTA(B4:B142),=COUNTA(C4:C142),=COUNTA(D4:D142),=COUNTA(E4:E142),,,,,
