,10000328,10000813,10000722,10000334,10000330,10000573,,
Body Washing,Bath Additives,Body Washing Other,Body Washing Variety Packs,Cleansing/Washing Accessories - Personal,Cleansing/Washing/Soap - Body,Wipes - Personal,,
Advertised Origin,E,E,E,E,E,E,,
Aerosol Product,,,,,,,,
Beauty Area of Use,E,E,E,E,E,E,,
Beauty Treatment Specialty,E,E,E,E,E,E,,
Beauty Type,E,E,E,E,E,E,,
Boxed for Gift Giving,,,,,,,,
Brand Name             ,E,E,E,E,E,E,,
Chemical Certifications,,,,,,,,
Circularity Certifications,,,,,,,,
Color Extended Description,,,,,,,,
Consumer Available Date,,,,,,,,
Consumer Item Weight,,,,,,,,
Consumer Life Stage,,,,,,,,
Consumer Package Depth,,,,,,,,
Consumer Package Gross Weight,,,,,,,,
Consumer Package Height,,,,,,,,
Consumer Package Width,,,,,,,,
Consumer Product Capacity or Volume,E,E,E,E,E,E,,
Consumer Quantity of Units in Consumer Package,,,,,,,,
Corporate/Philanthropic Certifications,,,,,,,,
Country of Origin,E,E,E,E,E,E,,
CPSIA  Flag,,,,,,,,
Discontinue Date,,,,,,,,
Does Not Contain,E,E,E,E,E,E,,
Features – Benefits – Marketing Message,E,E,E,E,E,E,,
First Avail Ship Date,,,,,,,,
First Order Date,,,,,,,,
Formulation,E,E,E,E,E,E,,
Full Product Name,,,,,,,,
Gender,E,E,E,E,E,E,,
Global Product Classification (GPC),E,E,E,E,E,E,,
Harmonized Tariff Schedule Code,E,E,E,E,E,E,,
Hazardous Material Class Code,,,,,,,,
Hazardous Material Description,,,,,,,,
Holiday/Event,,,,,,,,
Hypoallergenic,E,E,E,E,E,E,,
Ingredients,,,,,,,,
Inner Pack Quantity,,,,,,,,
Key Active Ingredient,,,,,,,,
Lead Time,,,,,,,,
Marked Retail Price,,,,,,,,
Material Country of Origin,,,,,,,,
Min Order Quantity,,,,,,,,
Occasion,,,,,,,,
Oil Free,,,,,,,,
Order Quantity Multiple,,,,,,,,
Prop 65,E,E,E,E,E,E,,
Raw Materials Certifications,,,,,,,,
Refillable,,,,,,,,
Re-orderable ,,,,,,,,
Responsible Manufacturing,,,,,,,,
Scent Type,E,E,E,E,E,E,,
Selling Channel,,,,,,,,
Shippable Package/Carton,,,,,,,,
Skin Type,,,,,,,,
Social Certifications,,,,,,,,
Special Handling Code,,,,,,,,
Special Item Code,,,,,,,,
SPF Rating,,,,,,,,
Supplemental Circularity Certifications,,,,,,,,
Supplemental Corporate/Philanthropic,,,,,,,,
Supplemental Packaging Certifications,,,,,,,,
Supplemental Raw Material Certifications,,,,,,,,
Supplemental Traceability Programs ,,,,,,,,
Supplier Suggested Retail,,,,,,,,
Supplier Wholesale Price,,,,,,,,
Supply Type,,,,,,,,
Sustainable Materials,,,,,,,,
Sustainable Packaging,,,,,,,,
Vendor Collection Name,,,,,,,,
Water Repellent,,,,,,,,
Wrinkle Resistant,,,,,,,,
TOTALS,=COUNTA(B3:B74),=COUNTA(C3:C74),=COUNTA(D3:D74),=COUNTA(E3:E74),=COUNTA(F3:F74),=COUNTA(G3:G74),,
