,GLOBAL PRODUCT CLASSIFICATION (GPC) CODES,,,,,,,,,,,,,
,GPC Class: Jewellery,,,,,,,,,,,,GPC Class: Watches,
,10001083,10001084,10001085,10001086,10001087,10001089,10001387,10001388,10001090,10001091,10001092,10001093,10001104,10001105
Jewellery/Watches Attributes,Anklets,Bracelets,Brooches,Cuff-links,Earrings/Body-piercing Jewellery,Jewellery Boxes/Pouches,Jewellery Other,Jewellery Variety Packs,Necklaces/Necklets,Pendants,Rings,Tiaras,Watch Accessories/Replacement Parts,Watches
Adjustable,,,,,,,,,,,,,,
Adjustable Strap,,,,,,,,,,,,,,
Advertised Origin,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Band Type,,,,,,,,,,,,,E,E
Benefits Marketing Message,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Boxed for Gift Giving,,,,,,,,,,,,,,
Bracelet Type,E,E,,,,,,,,,,,,
Brand Name,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Chemical Certifications,,,,,,,,,,,,,,
Circularity Certifications,,,,,,,,,,,,,,
Closure,E,E,,,E,,,,E,,,,E,E
Color Extended Description,,,,,,,,,,,,,,
Conference,,,,,,,,,,,,,,
Consumer Available Date,,,,,,,,,,,,,,
Consumer Item Length,E,E,,,,,,,E,,,,,
Consumer Item Weight,,,,,,,,,,,,,,
Consumer Item Width,,,,,,,,,,,,,,
Consumer Life Stage,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Consumer Package Depth,,,,,,,,,,,,,,
Consumer Package Gross Weight,,,,,,,,,,,,,,
Consumer Package Height,,,,,,,,,,,,,,
Consumer Quantity of Units in Consumer Package,,,,,,,,,,,,,,
Corporate/Philanthropic Certifications,,,,,,,,,,,,,,
Country of Origin,E,E,E,E,E,E,E,E,E,E,E,E,E,E
CPSIA Flag,,,,,,,,,,,,,,
Discontinue Date,,,,,,,,,,,,,,
Earring Drop,,,,,E,,,,,,,,,
Earring Type,,,,,E,,,,,,,,,
Fabric or Material Code,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Fabric or Material Description,,,,,,,,,,,,,,
Faux Fur,,,,,,,,,,,,,,
Features,,,,,,,,,,,,,,
Fiber,,,,,,,,,,,,,,
Finish,,,,,,,,,,,,,,
First Available Ship Date,,,,,,,,,,,,,,
First Order Date,,,,,,,,,,,,,,
Full Product Name,,,,,,,,,,,,,,
Gender,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Global Product Description,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Gold Karat,,,,,,,,,,,,,,
Harmonized Tariff Schedule Code,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Holiday/Event,,,,,,,,,,,,,,
Inner Pack Quantity,,,,,,,,,,,,,,
Jewelry Sets,,,,,,,,,,,,,,
Jewelry Type,E,E,E,E,E,,E,E,E,E,E,E,,
Laser Cut,,,,,,,,,,,,,,
Lead Time,,,,,,,,,,,,,,
League,,,,,,,,,,,,,,
Marked Retail Price,,,,,,,,,,,,,,
Material Country of Origin,,,,,,,,,,,,,,
Metal,,,,,,,,,,,,,,
Min Order Quantity,,,,,,,,,,,,,,
Necklace Type,,,,,,,,,E,,,,,
Occasion,,,,,,,,,,,,,,
Officially Licensed,,,,,,,,,,,,,,
Order Quantity Multiple,,,,,,,,,,,,,,
Prop 65,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Raw Materials Certifications,,,,,,,,,,,,,,
Re-Orderable,,,,,,,,,,,,,,
Responsible Manufacturing,,,,,,,,,,,,,,
Ring Type,,,,,,,,,,,E,,,
Selling Channel,,,,,,,,,,,,,,
Shippable Package/Carton,,,,,,,,,,,,,,
Social Certifications,,,,,,,,,,,,,,
Special Handling Code,,,,,,,,,,,,,,
Special Item Code,,,,,,,,,,,,,,
Stone Details,,,,,,,,,,,,,,
Stretch,,,,,,,,,,,,,,
Supplemental Circularity Certifications,,,,,,,,,,,,,,
Supplemental Corporate/Philanthropic,,,,,,,,,,,,,,
Supplemental Packaging Certifications,,,,,,,,,,,,,,
Supplemental Raw Material Certifications,,,,,,,,,,,,,,
Supplemental Traceability Programs ,,,,,,,,,,,,,,
Supplier Suggested Retail,,,,,,,,,,,,,,
Supplier Wholesale Price,,,,,,,,,,,,,,
Supply Type,,,,,,,,,,,,,,
Sustainable Materials,,,,,,,,,,,,,,
Sustainable Packaging,,,,,,,,,,,,,,
Team Name,,,,,,,,,,,,,,
Vendor Collection Name,,,,,,,,,,,,,,
Warranty Description,,,,,,,,,,,,,,
Watch Band Width,,,,,,,,,,,,,E,E
Watch Case Shape,,,,,,,,,,,,,,E
Watch Case Size,,,,,,,,,,,,,,E
Totals,=COUNTA(B5:B88),=COUNTA(C5:C88),=COUNTA(D5:D88),=COUNTA(E5:E88),=COUNTA(F5:F88),=COUNTA(G5:G88),=COUNTA(H5:H88),=COUNTA(I5:I88),=COUNTA(J5:J88),=COUNTA(K5:K88),=COUNTA(L5:L88),=COUNTA(M5:M88),=COUNTA(N5:N88),=COUNTA(O5:O88)
