,GLOBAL PRODUCT CLASSIFICATION (GPC) CODES,,,,,
,10006964,10008068,10008066,10008065,10008067,10006965
Swimwear Attributes,Beachwear/Cover Ups,Swimsuit - 2+ Pieces,Swimsuit Bottom,Swimsuit Top,Swimsuit-One Piece,Swimwear - Other
Adhesive,,,,,,
Adjustable,,,,,,
Adjustable Strap,,E,,E,E,
Advertised Origin,E,E,E,E,E,E
Boxed for Gift Giving,,,,,,
Bra Band Type,,,,,,
Bra Bust Type,,,,,,
Bra Cup Coverage,,,,,,
Bra Cup Type,,,,,,
Bra Impact Level,,,,,,
Bra Padding,,,,,,
Bra Specialty Type,,,,,,
Bra Type,,,,,,
Bra Underwire,,,,,,
Brand Name             ,E,E,E,E,E,E
Care Information,,,,,,
Care Instructions Code,E,E,E,E,E,E
Chemical Certifications,,,,,,
Circularity Certifications,,,,,,
Closure,E,E,,E,,
Coat/Jacket Type,,,,,,
Collar Type,E,E,,E,E,
Color Extended Description,,,,,,
Conference,,,,,,
Consumer Available Date,,,,,,
Consumer Item Length,,,,,,
Consumer Item Weight,,,,,,
Consumer Item Width,,,,,,
Consumer Life Stage,,,,,,
Consumer Package Depth,,,,,,
Consumer Package Gross Weight,,,,,,
Consumer Package Height,,,,,,
Consumer Package Width,,,,,,
Consumer Quantity of Units in Consumer Package,,,,,,
Control Level,,,,,,
Convertible,,,,,,
Corporate/Philanthropic Certifications,,,,,,E
Country of Origin,E,E,E,E,E,
CPSIA  Flag,,,,,,
Cuff Type,,,,,,
Detachable Strap,,,,,,
Discontinue Date,,,,,,
Dress Type,,,,,,
Fabric or Material Code,E,E,E,E,E,E
Fabric or Material Description,,,,,,
Faux Fur,,,,,,
Features – Benefits – Marketing Message,E,E,E,E,E,E
Fiber,E,E,E,E,E,E
Finish,,,,,,
First Avail Ship Date,,,,,,
First Order Date,,,,,,
Full Product Name,,,,,,
Fur Animal Name,E,E,E,E,E,L
Fur Country of Origin,E,E,E,E,E,L
Fur Treatment,E,E,E,E,E,L
Gauge,,,,,,
Gender,E,E,E,E,E,E
Global Product Classification (GPC),E,E,E,E,E,E
Harmonized Tariff Schedule Code,E,E,E,E,E,E
Holiday/Event,,,,,,
Hooded,,,,,,
Inner Pack Quantity,,,,,,
Knit Type,,,,,,
Laser Cut,,,,,,
Lead Time,,,,,,
League,,,,,,
Leg Type,,,,,,
Length Description,,,,,,
Lined,,,,,,
Lining Material,,,,,,
Marked Retail Price,,,,,,
Material Country of Origin,,,,,,
Maternity,,,,,,
Min Order Quantity,,,,,,
Occasion,,,,,,
Officially Licensed,,,,,,
Order Quantity Multiple,,,,,,
Pant Inseam Length,,,,,,
Pants/Shorts Type,,,,,,
Panty Type,,,,,,
Panty/Swim Back Coverage,,E,E,,E,
Player Name,,,,,,
Pocket Details,,,,,,
Primary Detail Application,,,,,,
Primary Detail Logo ,,,,,,
Primary Detail Placement,,,,,,
Primary Detail Size,,,,,,
Primary Detail Type,,,,,,
Primary Motif Theme,,,,,,
Prop 65,E,E,E,E,E,L
Raw Materials Certifications,,,,,,
Re-orderable ,,,,,,
Responsible Manufacturing,,,,,,
Reversible,,,,,,
Secondary Detail Application,,,,,,
Secondary Detail Logo,,,,,,
Secondary Detail Placement,,,,,,
Secondary Detail Size,,,,,,
Secondary Detail Type,,,,,,
Secondary Motif Theme,,,,,,
Selling Channel,,,,,,
Shapewear Type,,,,,,
Shippable Package/Carton,,,,,,
Skirt Type,,,,,,
Sleepwear Type,,,,,,
Sleeve Measurement,,,,,,
Sleeve Type,E,E,,E,,
Slip Split,,,,,,
Slip Type,,,,,,
Social Certifications,,,,,,
Special Embellishment,,,,,,
Special Item Code,,,,,,
SPF Rating,,,,,,
Sport,,,,,,
Steamable,,,,,,
Strap Placement,,,,,,
Stretch,,,,,,
Supplemental Circularity Certifications,,,,,,
Supplemental Corporate/Philanthropic,,,,,,
Supplemental Packaging Certifications,,,,,,
Supplemental Raw Material Certifications,,,,,,
Supplemental Traceability Programs ,,,,,,
Supplier Suggested Retail,,,,,,
Supplier Wholesale Price,,,,,,
Supply Type,,,,,,
Support Level,,,,,,
Sustainable Materials,,,,,,
Sustainable Packaging,,,,,,
Sweater/Pullover Type,,,,,,
Swim Bottom Type,,E,E,,,
Swim Coverup Type,E,,,,,
Swim One-piece  Type,,,,,E,
Swim Top Type,,E,,E,,
Tag,,,,,,
Team Name,,,,,,
Third Detail Application,,,,,,
Third Detail Logo,,,,,,
Third Detail Placement,,,,,,
Third Detail Size,,,,,,
Third Detail Type,,,,,,
Third Motif Theme,,,,,,
Vendor Collection Name,,,,,,
Waist Rise,,,,,,
Waistband Type,,,,,,
Water Repellent,,,,,,
Wrinkle Resistant,,,,,,
Total,=COUNTA(B4:B149),=COUNTA(C4:C149),=COUNTA(D4:D149),=COUNTA(E4:E149),=COUNTA(F4:F149),
